target,cluster
public worker,5
paper,5
state,5
state legislature,1
paper disposal process,5
disposal,5
atlantic coast,6
lobby,5
oil tanker spill,5
oil lobbyist,1
oil spill,5
drilling,5
lobbyist,1
big bank,5
large bank,5
federal bailout bank,1
government bailout bank,1
bank bailout,5
control,5
federal bailouts,1
essay,0
capital gain,5
tax,1
federal tax,1
tax rate,1
investment,5
electric car,5
reducing electric car charging bill,5
electric car,5
home schoolers,0
child,0
tax education,1
public education,0
tax credit,1
tax break,1
tax credit childless adult matter justice,5
tax credit,1
child,0
casino,5
economy,1
government investment job program,5
job creation,5
capitalism,1
humanity,5
gamble,5
politics,1
economic activity,5
prostitution,2
prostitution,2
prostitution,2
drilling,5
offshore dilling,5
offshore drilling,5
bp disaster,5
bp disaster,5
economy,1
climate change,5
high meal price,5
restaurant pricing,5
unfair restaurant price,5
menu,5
going,5
price restaurant,5
sale tax,1
sale tax,1
news,5
facebook,5
facebook news,5
facebook,5
newspaper,5
social medium,5
facebook,5
consumer 's responsiblity,5
internet news,5
high school team,0
public school,0
public education,0
use public school facility,0
home schoolers,0
public education,0
home schooling,0
vaccination,1
vaccination,1
non vaccination,1
vaccine,1
mandatory child,0
non vaccination,1
anti vaccination,1
teacher,0
teach,0
educated teacher,0
teacher,0
experience,5
teach,0
teacher,0
teaching experience,0
special need,5
public school,0
lazy kid,5
classroom content,0
modern parenting,5
student mainstreamed,0
rim,5
basketball,0
change rule modern basketball reflect height player,5
10 foot rim,5
basketball,0
high school team,0
homeschooling,0
home school,0
home schoolers,0
homeschooling,0
sport academic,0
technological innovation,5
silicon valley,5
tech industry,5
lot money people,5
silicon valley,5
uber,5
silicon valley,5
control,5
bove,5
bank failure,5
capital,5
big bank,5
banking regulation,1
capital,5
charter school,0
high school,0
individuality,5
punishment public school,0
cherrypicking student,0
public school,0
holding student back,5
holding back student,5
obesity,1
publishing bmi 's,5
fast food,5
obesity surgery,1
workplace,0
company,5
customer service,5
restaurant,5
waitstaff,5
server,5
tip,5
happy hour,5
drunk driving,5
happy hour,5
rich politicans,5
corruption,1
corruption law enforcement,1
political corruption,1
law enforcement,1
favor one another,5
capital gain,5
income tax,1
tax,1
tax break,1
school librarian,0
librarian,0
librarian,0
research,5
school librarian,0
librarian,0
librarian,0
big bank,5
richard bove,6
investment bank,5
control,5
stock,5
richard bove,6
big fail,5
everyone,5
vegetarian,3
animal protein,5
veganism,3
child growth,5
diet,5
veganism,3
vegetarianism,3
veganism,3
herbivore,5
racial reparation,5
reparation,5
racial mixing,5
modern view race,5
reparation,5
reparation,5
racial mixing,5
public preschool,0
universal pre k,5
israel,6
philosophy,5
israel,6
royal couple,5
house servant,5
harry meghan,6
housework,5
modern family,5
servant,5
teacher,0
teach,0
patience teaching,5
experience teaching,0
regret teaching,0
experience,5
teach,0
first time teacher,0
teacher,0
home schoolers,0
public school,0
school sport team,0
home school,0
high school team,0
home schoolers using public school extracurriculars,0
allowing home schoolers participate sport team,5
public school,0
school sport,0
home school participation public sport team,0
felon,1
voting right criminal,5
criminal voting,1
voting incarcerated,1
home schoolers,0
federal tax credit,1
homeschool,0
tax break,1
federal tax credit,1
felon,1
criminal voting,1
criminal,5
fee,5
bank,5
dual citizenship,1
citizenship,4
dual citizenship,1
gateway drug,2
marijuana,2
marijuana lead obesity,2
marijuana use constant,2
marijuana,2
marijuana,2
drug use,2
veganism,3
vegan,3
veganism,3
vegan,3
veganism,3
exercise,5
maintaining healthy lifestyle,5
sport program undergraduate school,0
tuft,5
college education,0
college sport,0
opioid training,5
percocet,2
gerontologist treating,5
dual citizenship,1
dual citizenship,1
citizenship,4
right,5
income,1
admission,0
`` top 10 plan,5
texas 's `` top 10 plan,5
affirmative action,5
top 10 plan,5
workplace,0
tip,5
tip,5
tipping wait staff,5
paying restaurant employee,5
restaurant employee,5
restaurant,5
tip,5
restaurant employee salary,5
tip,5
happy hour,5
drunk driving,5
medical website,5
medical information,5
prescription,1
internet,5
bad deal city state,5
privatized infrastruce,1
infrastructure,5
privatization,1
privatize,1
infrastructure,5
israel,6
un charter,5
attack iran,6
capital gain,5
taxation method,1
tax,1
tax system,1
obese job applicant,5
obesity,1
physical fitness,5
obesity,1
immigration,4
illegal immigrant,4
company hiring illegal immigrant,5
illegal immigration,4
immigrant problem,4
undocumented worker,5
undocumented worker,5
california,6
big bank,5
bank regulation,5
problem big bank,5
bank,5
control,5
banking regulation,1
loophole getting caught crime,5
big bank,5
capital gain,5
income,1
none,5
income,1
u.s. embassy,6
violence,5
israel negotiation,6
us embassy israel,6
jerusalem,6
violence,5
jerusalem,6
privatization,1
faith government,1
big government,5
bad deal city state,5
private sector,5
believe government,5
apps,5
schizophrenia,5
mental disability,5
mental disability,5
depression anxiety,5
schizophrenia,5
schizophrenia,5
treatment,5
marijuana,2
marijuana legalization,2
marijuana use,2
gateway drug,2
gateway drug,2
drug,2
control,5
war poor,5
issue nationalizing large bank,5
big bank,5
banker lobbying,1
bank,5
big bank,5
nation,5
palestinian,6
palestine statehood,6
international peace,5
palestinian state,6
palestine,6
palestine statehood,6
sport program undergraduate school,0
educational funding,0
education,0
education funding,0
electric car,5
sustainability solution,5
urban sprawl,5
electric vehicle,5
capital gain tax,1
changing tax code,5
value added tax,5
tax,1
fat shaming,5
obesity,1
person life decision making,5
overweight people,5
jail record,5
criminal record,5
criminal record,5
employer attitude,5
employer 's first impression,5
job applicant,5
hiring practice,5
employment law,1
employment law,1
impeding inspector,5
assad,6
u.n. inspector,6
syrian intervention,6
iran war strategy,6
syria,6
un inspector,5
assad,6
strategy syria,6
syria war strategy,6
medical website,5
health website,5
health,5
felon,1
roger clegg,6
vote,1
racism,1
vote,1
capital gain,5
taxation,1
taxing labor,1
woman,5
sexism,1
society pressure woman,5
pressure,5
motherhood,1
pressure society put woman,5
social pressure woman,5
tfa,6
union,1
teacher union,0
classroom teacher,0
school issue,0
reward system,5
status teacher,0
teacher pay,0
teaching reward system,5
classroom teacher,0
tip,5
paying gratuity,1
japan,6
japanese work place,5
restaurant,5
service,5
restaurant japan,5
tip,5
israel,6
us foreign policy,5
home birth,5
home delivery,5
hospital birth,5
emergency delivery,5
home birth,5
hospital birth,5
child birth,5
preparation,5
social medium,5
real life,5
social medium life,5
facebook,5
real life,5
debate,1
tax break,1
higher education,0
higher education,0
system higher education,5
private college,0
state legislator,1
wealthy college,0
public education,0
public higher education,0
vaccination,1
vaccination,1
child abuse,5
anti vaccination parent,1
vaccination,1
childhood illness,5
child abuse,5
ineffective management,5
foreign worker outsourcing,5
outsource,5
immigrant worker,4
management,5
outsource,5
research paper,5
internet,5
data,5
internet,5
internet use,5
research paper,5
misinformation,1
education,0
internet,5
tfa,6
upper middle class young people,5
value tfa,5
status teacher,0
program,0
education,0
tfa,6
upper middle class,5
marijuana,2
cannabis,2
cannabis,2
gateway drug,2
cannabis,2
world,5
obama,6
safety,5
lower murder rate ever,5
homicide,5
homicide,5
privatization,1
government contract,1
government contract improve diversity,5
preferential contract,5
market competition,5
bad deal city state,5
small business,5
preferential contract,5
equal opportunity,5
market competition,5
government awarded contract,5
dual citizenship,1
overseas citizen india,5
dual citizenship,1
kid home,0
obstetrician,5
medical profession,5
birth home,5
hospitalization birth,1
woman,5
obstetrician,5
home birth,5
midwife,1
medical website,5
patient research,5
breast cancer,5
medical website,5
none,5
increased tax revenue,1
tax revenue,1
deferred maintenance project,5
none,5
governing budget,5
deferred maintenance project,5
reduction fee,5
ban,1
prohibition,2
wealth,5
poor people,5
public worker,5
islamist,6
looking violence carried response mere concept,5
islam,6
violence,5
speech,5
islam,6
violence muslim,6
muslim reaction offense,5
high school team,0
homeschooling,0
home schooling,0
public school activity,0
home schoolers,0
home schooling,0
school librarian,0
teach,0
librarian,0
syria,6
bill clinton 's cruise missile barrage,5
american foreign policy,5
middle east,5
diplomacy middle east,5
president,5
us,5
al qaeda,5
cruise missile barrage,5
osama bin laden,6
privatization,1
closed minded individual,5
privatization,1
privatization,1
supporting evidence,5
closed mind,5
israel,6
strategy,5
foreign lobbying,1
us lobby,5
us president,5
advice eating well,5
nutrition,5
nutrition confusing,5
food additive,5
nutrition,5
restaurant tip insult,5
tip,5
insult,5
expense eating,5
workplace,0
tip,5
waiter tip,5
tip,5
status teacher,0
tfa attrition,1
teaching america,6
short term teacher,0
problem,5
illegal immigrant,4
immigration policy,4
costing taxpayer,1
welfare reform,1
illegal immigrant burden,4
tax money going child illegal immigrant,5
government support,5
architect,5
real estate,5
hubris architect,5
mainstream architecture,5
modern architecture,5
real estate,5
kid,0
variety school,0
federal education mandate,1
public school parent,0
law,1
prostitution,2
prostitution,2
sport league,5
healthcare,1
healthcare education,1
sport,5
healthcare,1
education,0
marijuana,2
heroin,2
gateway drug,2
gateway drug,2
marijuana gateway drug,2
marijuana,2
drug,2
nonprofit status,5
pro sport,5
tax break nfl team,5
tax incentive,1
sport league,5
sport subsidy,1
professional sport,5
advice eating well,5
take food,5
family time,5
food,5
new employee,5
small business,5
small business,5
non compete clause,5
noncompete deal,1
small business,5
sale,5
small business,5
business competition,5
medical website,5
patient,5
health care,5
modern men,5
online dating site,5
online dating,5
dating site,5
medical website,5
mayo clinic,5
information online,5
happy hour,5
child lifestyle,5
parent,0
busy schedule,5
electric car,5
alternative energy,5
electric transport,5
illegal labor,1
fruit,5
inexpensive fruit vegetable,5
high price vegetable,5
fruit vegetable,5
price vegetable,5
farm,5
fruit,5
cost food,5
fruit veg price,5
cost fruit vegetable,5
fruit price,5
woman,5
hospital delivery,5
male obstetrician,5
kid home,0
male obstetrician,5
home birth,5
home birth,5
home schoolers,0
republican,1
religious schooling,0
tax break,1
home schooling,0
homeschooling,0
republican,1
learning home,0
medical website,5
health website,5
f legitimate health site,5
speech,5
business,5
workplace politics,1
business rule country,5
voice workplace,5
public worker,5
right lgbt,5
workplace right,5
corporate political advocacy,1
rich politicans,5
corruption,1
brazilian political corruption,1
sport program undergraduate school,0
israeli higher education,5
israeli university,6
medical website,5
health literacy,1
doctor patient,5
hamas fatah unity,6
real,5
isreal,6
hitler 's plan extermination,5
mideast peace,6
hamas,6
anti semitism palestinian,6
hamas,6
overweight,5
fitness,5
obesity,1
health,5
electric car,5
electric car,5
news,5
facebook,5
free facebook news,5
facebook,5
newspaper,5
facebook news,5
facebook,5
office layout,5
architecture,5
work environment,5
open office layout,5
work environment,5
israel,6
aid usa,5
israel palestinian,6
military aid,5
election,1
justice,5
republican party,1
supreme court opinion,5
supreme court,5
case court,5
gamble,5
gamble,5
casino,5
casino,5
casino,5
adding casino,5
casino benefiting area,5
capital gain,5
capital gain,5
tax longterm investment,1
capital gain tax,1
cat,5
declaring cat,5
declaring cat,5
declawing cat,1
harm,5
drone,5
drone,5
terrorist border,5
terrorism,1
terrorist,6
attack,5
drone,5
restaurant,5
emotion,5
tip,5
entrepreneurial,5
workplace,0
capacity think,5
tip,5
atlantic coast,6
business,5
oil company,5
environment,5
environment damage,5
drilling,5
oil company,5
sport program undergraduate school,0
college semipro sport,0
college sport,0
excessive college coach salary,0
college sport,0
fee,5
bank fee,5
fee,5
speech,5
freedom,5
freedom people,5
expression,5
public worker,5
freedom expression,5
freedom,5
office layout,5
open space working environment,5
private work area,5
open space office,5
farm subsidy,1
subsidy program,1
farming subsidy,1
agricultural subsidy,1
small scale farmer,5
small farmer,5
home schoolers,0
public education,0
tax break,1
public school funding,0
private education,0
public education funding,0
speech,5
flag burning,5
fired job,5
people fired burning flag,5
public worker,5
political correctness,1
free speech,5
freedom expression,5
attack,5
war,1
drone strike,5
war,1
company,5
regulation,1
regulation,1
corporation,5
miss america,6
girl constantly judged physical appearance,5
beauty gadget,5
woman,5
girl judged appearance,5
physical appearance,5
beauty,5
company,5
ian adam,6
corporation,5
regulation business,5
corporation taking,5
overcrowding,5
migration,4
economic growth,5
population control,5
tfa,6
teacher achievement,0
good teacher,0
teacher,0
status teacher,0
teacher,0
budget cut education,5
drug war,2
decriminalization drug,2
decriminalization,2
drug war,2
marijuana,2
drug war,2
drug,2
war drug,2
public worker,5
first amendment right,5
free speech,5
transit authority,5
speech,5
free speech,5
dual citizenship,1
citizenship,4
dual citizenship,1
refugee,4
refugee,4
conscription,1
research paper,5
essay,0
term paper,5
useful excercise college student,0
tea party,5
college,0
tax break rich,5
tax break,1
speech,5
free speech,5
freedom speech,5
dumb illegal action,5
free speech,5
right,5
free speech,5
hate speech,5
freedom,5
apps,5
deafblind child adult,0
human touch,5
education,0
touch,5
screen,5
handicap,5
human interaction,5
extreme parenting,5
stereotype,5
extreme parenting,5
threat,5
illegal immigration,4
illegal immigration,4
immigrant employment,4
business employing illegal immigrant,5
architect,5
ego,5
elitist environment,5
ego,5
city,5
modernism,5
ego,5
home schoolers,0
public school,0
benefit homeschooled,0
school choice,0
education choice,0
none,5
child rearing,0
private school,0
real man,5
men,5
guy relationship family world large,5
masculinity,5
veganism,3
guy,5
chef,5
vegetarianism,3
attempting state meat necessary human diet,5
vegetarianism,3
advocating eating meat,5
nutrition,5
capital gain,5
capital gain,5
elimination capital gain,5
capital gain tax,1
national security,5
republican,1
republican,1
tax,1
budget balancing,5
republican,1
republican party,1
tax cut,1
politics,1
us national budget,5
republican political tactic,1
u.s. embassy,6
us embassy jerusalem,6
us embassy,5
jerusalem,6
jerusalem,6
u.s. embassy jerusalem,6
israel,6
nuclear weapon,5
iran,6
hamas fatah unity,6
israeli,6
israel,6
israel,6
single state solution,5
mideast peace,6
israel,6
economy,1
palestinian,6
israeli,6
israeli retribution,6
sport program undergraduate school,0
college football,0
football team,5
useful excercise college student,0
machine,5
machine labor,5
manual labor,5
machine,5
online research paper,5
library,0
machine use,5
capital gain,5
irs,6
slashing capital gain tax,5
capital gain,5
airline industry,5
government regulation,1
airline policy,1
government,1
airplane,5
airline standard,5
regulation airport,5
airline standardization,5
standard plane,5
polygamy,1
exploitation woman,5
child abuse,5
adult,0
relationship,5
polygamy,1
exploitation,5
child abuse,5
speech,5
duran,6
deference religion,5
duran,6
quran,6
islam,6
dual citizenship,1
dual citizenship,1
dual citizenship,1
security clearance,5
political opinion,5
judge politics,5
election,1
professor killer,5
gateway drug,2
opioid drug,2
opioids,2
marijuana,2
opioids,2
marijuana,2
opioids,2
opioid drug,2
palestinian state,6
palestinian state,6
war,1
palestine,6
palestinian,6
isi,6
middle east,5
electric car,5
electric car,5
battery technology,5
ev car,5
incompetent parent,0
right responsibility,5
kid,0
parent,0
capital gain,5
taxation,1
labor income tax,1
economy,1
medical website,5
doctor,5
assistance,5
medical care,5
medical website,5
illness,5
internet searching,5
social medium,5
facebook,5
using facebook,5
cheating n't mention romance,5
facebook,5
infidelity social medium,5
status public teacher,0
teach america,6
education,0
tfa,6
teach america,6
company,5
law regulation enforcement,1
law,1
law enforcement,1
enforce,5
vw,6
real estate criminal,5
fraud,1
glossing criminal activity,5
real estate,5
helping condo developer,5
real estate,5
ink spent,5
rich politicans,5
bribe,1
political system,5
corrupt politician,1
harm,5
politics,1
attack,5
drone strike,5
911,5
threat,5
iran,6
syria,6
iran,6
iran threat,6
iran,6
syria,6
fossil fuel drilling,5
politician supporting oil industry,5
drilling,5
politics,1
political,1
home schoolers,0
tax,1
tax credit,1
tax credit homeschooling,1
homeschooling,0
financing school,0
tax break,1
school,0
funding education,0
tax credit home schooling,5
dual citizenship,1
dual citizenship,1
multiple opportunity,5
dual citizen,5
capital gain,5
tax,1
capital gain tax,1
europe,6
refugee,4
refugee,4
refugee,4
refugee,4
tax break,1
tax break homeschooling parent,0
private school,0
tax break,1
tax break,1
tax break,1
tax break private education,5
status public teacher,0
untrained teacher,0
teach america,6
teacher,0
training teacher,0
teacher training us,0
teaching america,6
teaching standard,0
college free,0
diluting college system,0
admission,0
grade inflation,0
university standard,0
everyone,5
admission standard college,0
university,0
training program,0
admission standard,5
casino,5
gambling industry,5
negative impact gambling,5
gamble,5
gamble,5
gambling industry,5
marijuana,2
marijuana,2
legalizing marijuana,2
gateway drug,2
legalization marijuana,2
marijuana,2
marijuana,2
recreational market,5
overcrowded national park,5
rich,5
large fee,5
recreation,5
rich people,5
airport,5
restricted access,5
rich,5
rich,5
rich,5
capital gain,5
revenue,1
rich,5
capital gain tax,1
capital gain tax,1
tax amnesty,1
dual citizenship,1
dual citizenship,1
gateway drug,2
marijuana,2
genetic disposition,5
marijuana,2
marijuana,2
du pont,5
marijuana,2
social medium,5
smart phone addiction,5
technology,5
device obsession,5
romance,5
art event,5
overuse iphones,5
iphone use,5
dual citizenship,1
american,6
dual citizenship,1
citizen,1
parent,0
kid camp,0
parent time alone,5
vacation,5
parent,0
camp,5
electric car,5
electric vehicle,5
electric car,5
affirmative action,5
affirmative action,5
intent voter michigan california florida eliminate racial preference period,5
income,1
vote,1
affirmative action,5
voter intent,1
felon,1
legal system,5
justice inequality,1
wrongly convicted,5
cat,5
pet,5
declaring,5
electric car,5
electric car,5
electric vehicle,5
america 's,6
terror,5
muslim,6
america 's fear,5
muslim,6
terror attack,5
american death toll,5
marijuana,2
alcohol,2
legal marijuana,2
black market,5
gateway drug,2
drug,2
marijuana legalization,2
gateway drug,2
felon,1
taxation,1
taxation,1
rebellion,1
capital gain,5
income tax,1
invest,5
retirement account ira 's 401k 's,5
capital gain,5
parent,0
fun memory,5
family vacation,5
take family driving trip,5
drive,5
vacation,5
family,5
taking vacation,5
marijuana,2
heroin,2
drug use,2
gerrymander,1
prescription drug,2
gateway drug,2
heroin,2
heroin user,2
heroin prescription drug,2
statistic manipulation,5
judiciary,1
judge,5
politics,1
involved politics,5
capital gain,5
race bottom,5
rich,5
technological innovation,5
innovation,5
consumerism,1
economic growth,5
lot money people,5
innovation,5
classic bayesian inference error,5
bayesian inference error,5
guilty,5
incorrect argument,5
classic bayesian inference error,5
domestic abuse murder,5
bayesian inference error,5
trial,5
bayesian inference,5
oj simpson trial,5
u.s,6
politics,1
cuba embargo,6
sanction,5
cuba,6
cuban relation,5
electric car,5
environmental policy,5
oil dependence,5
health cost,5
social accounting,5
middle east oil,5
computer education,0
handwritten print cursive,5
cursive,0
cursive handwriting,0
noncompete deal,1
overseas manufacturing,5
company,5
labor law,1
noncompete agreement,1
shore manufacturing,5
offshore manufacturing,5
gamble,5
gamble,5
equity,1
casino,5
gamble,5
income inequality,1
rim,5
sport,5
modern sport,5
outfield fence,5
home run,5
workplace,0
delivery service,5
delivery charge,5
tipping worker,5
delivery charge,5
restaurant,5
people make delivery,5
none,5
tip,5
delivery driver tapping,5
tfa,6
teacher america,0
tfa,6
status teacher,0
tfa,6
tfa,6
teacher,0
electric car,5
battery,5
hydrogen,5
hydrogen energy,5
battery,5
hydrogen,5
people,5
intellectual relativism,5
change school curriculum,0
school,0
capital gain,5
taxation,1
income tax,1
felon,1
convict,5
conservative,5
marijuana legalization,2
legalized drug,2
scare tactic,5
marijuana,2
marijuana,2
marijuana legalization,2
tax break,1
tax break,1
tax break,1
parent irrational attitude kid,5
home schoolers,0
tax break taking kid school,0
home schooling kid,0
medical website,5
online consulting,5
medical malpractice,1
federal funding,1
federal funding patent holder,5
government,1
science,5
patent holder,5
patent,5
company,5
science achievement,5
medical patent,5
dunk,5
nba,6
nba,6
lebron,6
felon,1
felon,1
prison release,5
minor violation,5
new york city,5
new york,5
city,5
serious crime,5
new york mayor,5
level law enforcement,5
new york,5
factual learning information,5
librarian,0
education,0
librarian,0
research paper,5
factual information,5
electric car,5
electric car range,5
innovative car,5
home schoolers,0
tax break,1
teaching professional,0
tax break,1
school tax,0
tax break,1
opioid training,5
drug addiction,2
dementia,1
moderate rebel,5
syria,6
war,1
syria,6
kurdish force,6
syrian rebel,6
secular democracy,1
war syria,6
background check,5
background check,5
employer,5
violent criminal,5
jail record,5
getting convicted criminal work force,5
background check,5
home schoolers,0
public school funding,0
property tax,1
public school,0
public school,0
tax,1
tax break,1
public school system,0
property tax,1
assad,6
march,5
violence,5
syria,6
nonviolence,1
islamic,6
people,5
revolution,5
george washington,6
american revolution,6
opioid training,5
conflict interest,5
academic,0
opioid abuse,2
speech,5
freedom speech,5
muslim,6
public worker,5
politics,1
muslim,6
political correctness,1
muslim america,6
company,5
regulation,1
inspection,5
regulation,1
beachfront home,5
access public beach,5
money,5
land,5
public land,5
law,1
law protecting right way shoreline,5
adjacent property owner,5
tax break,1
teacher,0
public school,0
tax break home schooling,5
home schoolers,0
home schooling,0
stronger support public education,5
comment section,5
ny time,5
censorship,1
bias,5
new employee,5
american business model,5
theft manufacturing design,5
theft idea,5
american hypocrisy,6
business,5
noncompete deal,1
europe invention,6
american business model,5
theft design ir,5
manufacture,5
keeping design wrap,5
people,5
politics,1
dr. pinker 's view,5
drinker,5
rich politicans,5
rich candidate,5
corruption,1
attack,5
drone,5
harm,5
drone,5
military policy,1
terrorism,1
jail record,5
drug use,2
pot,2
criminal unemployment,1
drug rehabilitation,2
rehabilitation,5
drug abuse,2
drug,2
drug addiction,2
research paper,5
critical thinking skill,5
technology,5
teaching english,0
useful excercise college student,0
high school teacher,0
research paper,5
mandatory child,0
vaccination,1
religious privilege,5
vaccination,1
vaccination,1
vaccination,1
faith based objection,5
vaccination exemption,1
fee,5
abusive fee,5
atm charge,5
atm,5
attack,5
drone attack,5
drone,5
harm,5
drone strike,5
drone,5
gateway drug,2
heroin addict,2
news article,5
waste time,5
correlation analysis,5
waste time,5
heroin addict,2
pot,2
pot,2
drug,2
marijuana nonaddictive,2
marijuana,2
legalization marijuana,2
tax break,1
religious right,5
home schooling,0
home schoolers,0
home schooling,0
beachfront home,5
maine,6
recreation,5
low tide level,5
public access,5
low tide maine,5
private ownership,5
water access maine,5
new employee,5
noncompete clause employment,1
employer taking much credit,5
employer taking credit employee work,5
noncompete deal,1
non compete clause,5
blackmail,5
workplace,0
candidate 's spouse,5
michelle obama,6
michelle obama,6
first lady,5
news,5
proper sharing news facebook,5
facebook,5
newspaper,5
facebook,5
facebook,5
news,5
partisan supreme court justice,5
ginsburg 's comment trump,5
hilary clinton,6
ginsburg recusal,1
useful excercise college student,0
library,0
book,5
internet research,5
copying essay,5
people,5
motivation,5
willful ignorance,5
information age,5
news reading,5
home schoolers,0
homeschooling,0
home schooling,0
tax break,1
tax break,1
home schoolers,0
homeschooling,0
education,0
illegal labor,1
california,6
employment,1
difficulty getting job,5
farm,5
employment rate,5
us army,5
prostitution,2
sex worker,5
legalized prostitution,2
prostitution,2
nation,5
un,5
palestinian,6
right palestinian,6
palestinian,6
palestinian state,6
un general assembly,5
recognition palestinian,6
palestinian right,6
obamacare,1
obamacare,1
none,5
obamacare,1
disadvantaged student,0
abusive environment,5
college,0
affirmative action,5
importance special education,5
student,0
big bank,5
big bank,5
control,5
banker control,5
banker,5
economy crime,1
motherhood,1
motherhood,1
child young,0
fertility,1
woman,5
parent,0
office layout,5
work environment,5
adam stoltz,6
office architecture,5
architect,5
high school team,0
kid exposed normal people,5
socialization child paranoid people,5
people reject society,5
home schoolers,0
upbringing,0
public school,0
way sell free,5
money,5
money status,5
egalitarian system,5
government funding,1
school tax,0
tax,1
educational option,0
tax break,1
public service,5
selective tax paying,1
tax going public school,0
tax break,1
home schooling parent,0
home schooling,0
home schoolers,0
tax policy,1
tax credit,1
tax break,1
public school,0
public school system,0
israel,6
religion conflict,1
difference religion,5
nation supremacy,5
dual citizenship,1
patriotism,1
nationalism,1
research paper,5
professor,0
university professor,0
low effort book,5
professor book,0
useful excercise college student,0
learn,5
higher education,0
college professor,0
academia,0
new hampshire public school,0
con home schooling,0
home schooled kid,0
con home schooling,0
tfa,6
educational problem,5
teacher,0
status teacher,0
education,0
tfa,6
public education,0
tax break,1
home school,0
home schooling,0
home schoolers,0
home school,0
home schooling,0
workplace,0
tip,5
tip,5
predictable salary,5
restaurant,5
price food drink,5
tip,5
wage,1
new employee,5
employer,5
labor,1
employee pay,5
noncompete deal,1
employer,5
hiring market,5
woman,5
effect child older age,5
today 's maternity,5
older mother,5
child,0
motherhood,1
parent,0
love,5
prostitution,2
brothel,5
dual citizenship,1
immigration,4
medical website,5
bed side manner,5
doctor talking patient,5
doctor 's care,5
rich politicans,5
rich,5
prosperity gospel,5
wealth,5
globalization,1
social medium,5
fashion,5
social medium,5
street style,5
fashion influence,5
social medium influencing fashion decision,5
fashion social medium,5
company,5
regulation,1
faulty product,5
company,5
legitimate threat,5
war nature,5
monopolization resource,5
overcrowding,5
overpopulation,1
population,5
interspecies genocide,1
mass extinction,5
refugee,4
refugee,4
war,1
refugee,4
national security,5
us position refugee,5
security agency,5
medical website,5
online medical advice,5
online medical information,5
isi,6
syria,6
syria conflict,6
u.s,6
syria,6
cooperating syria,6
invading syria,6
immigration,4
immigration,4
illegal immigration,4
liberal stance,5
problem,5
immigration,4
immigration,4
illegal immigration,4
illegal immigration,4
protected border,5
kid home,0
midwife,1
home birth,5
woman,5
home birth,5
child birth,5
birth,5
mother teresa,5
church,0
mother teresa,5
sport program undergraduate school,0
college activity,0
money,5
bad deal city state,5
prison,5
prison privatization,1
privatization,1
prison privatization,1
contracting job,5
privatization,1
privatization public function,5
privatization,1
iran,6
iran,6
threat,5
iran,6
capital gain,5
capital gain tax,1
taxing stock purchase,5
capital gain taxation,1
stock transaction,5
stock purchase,5
threat,5
immigration,4
inequality immigrant,4
immigrant 's job,5
israel,6
american policy,5
israel,6
city,5
new york city,5
gentrification,1
urban sprawl,5
helping condo developer,5
favouritism city high earner,5
new york city,5
extreme parenting,5
music lesson,5
chinese parenting,5
iran,6
israel,6
extremism,1
israel,6
threat,5
eran lerman,6
isreal today,6
extremist,5
israel,6
kid,0
new hampshire,5
new hampshire,5
education,0
useful excercise college student,0
writing research paper,5
teaching writing research paper,5
writing research paper,5
research paper,5
research paper,5
research paper,5
immigration,4
illegal immigration,4
medicaid,1
problem,5
non elderly medicaid,1
medicaid,1
affirmative action,5
racism,1
stereotype,5
asian attitude,5
income,1
asian,6
chinese school,0
asian,6
medical website,5
prostate cancer treatment,5
medicine,5
prostate cancer,5
gene,5
patent,5
isolated gene,5
patent protection,5
capital gain,5
lower tax rate,5
lower tax rate,5
libertarian,1
le tax unearned income,1
tax,1
sport program undergraduate school,0
intercollegiate sport program,0
sport,5
sport raising cost,5
intercollegiate sport,0
law school,0
law school,0
law school became money machine,5
law school,0
educational profit,5
law school,0
law testing,5
refugee,4
immigration,4
uk immigrant,4
muslim,6
europe,6
muslim,6
time,5
editor time,5
judge,5
judge influenced politics,5
judge,5
trial,5
court judge,5
veganism,3
veganism,3
balanced diet,5
healthy diet,5
omnivore,3
balanced healthy die,5
healthy diet,5
human omnivorous tendency,5
medical website,5
pain,5
web md,5
u.s,6
u.s. foreign policy,1
us foreign policy,5
u.s. supporting dictatorship,1
foreign policy,5
u.s. origen policy,6
isi,6
middle east foreign policy,5
u.s. foreign policy,1
foreign policy,5
mother teresa,5
pain med,5
human behavior,5
saint,5
airline industry,5
airplane comfort,5
airline,5
airline service,5
quality commercial flight experience,5
modern airline,5
extra fee airline,5
overpriced flight experience,5
tray table,5
tray table,5
new employee,5
business,5
noncompete agreement,1
small business,5
noncompete deal,1
protecting small business,5
small business,5
capital gain,5
trickledown economics,1
economics,1
farm,5
illegal immigration,4
labor condition,5
american job,5
illegal labor,1
corporate farming,5
illegal labor condition,5
illegal immigration,4
land,5
beach home,5
private property,5
beachfront home,5
public peach,5
beach,5
casino,5
casino,5
gamble,5
gamble,5
gamble,5
birthright citizenship,1
barak obama 's right,6
obama 's presidency 's legitimacy,5
republican,1
birther,1
william kate royal family,5
royalty,5
princess diana,6
royal couple,5
royal family,5
british royal family,5
veganism,3
omnivore diet,5
diet lacking vitamin,5
veganism,3
vegan,3
vitamin deficiency,5
well balanced diet,5
israel,6
america,6
america,6
arab leader,6
credibility,5
america 's credibility,5
american political system,5
republican senator want redesign american political system,5
republican senator,1
